Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,
"Leela V., Shilpa B., Pulla N., Gangadhara Reddy R.",6602133771;57218368544;58517203900;37079187200;,Impact of Radiation and Induced Magnetic Field on MHD Mixed Convective Flow in Vertical Microchannel: A Thermal Non - equilibrium Approach,2023,AIP Conference Proceedings,2649,,30029,,,,,10.1063/5.0114206,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85166421895&doi=10.1063%2f5.0114206&partnerID=40&md5=2d4d235434a2925298af69dd328e37bd,"Department of Science and Humanities, PES University, Bengaluru, 560085, India; Department of Mathematics, RV Institutes of Technology and Management, Bengaluru, 560076, India; Department of Mathematics, AMC Engineering College, VTU, Bengaluru, 560083, India","Leela, V., Department of Science and Humanities, PES University, Bengaluru, 560085, India; Shilpa, B., Department of Science and Humanities, PES University, Bengaluru, 560085, India; Pulla, N., Department of Mathematics, RV Institutes of Technology and Management, Bengaluru, 560076, India; Gangadhara Reddy, R., Department of Mathematics, AMC Engineering College, VTU, Bengaluru, 560083, India","The result of radiation and induced magnetic fields on fully developed magnetohydrodynamic mixed convective flow in a vertical micro-channel created by electrically non-conducting and conducting walls with thermal nonequilibrium state and heat generation are investigated in this study. A dependable transverse magnetic field is used to account for the electrically conducting fluid. The governing equations are numerically solved using the finite element method (FEM). The effects of Hartmann number, magnetic Prandtl number, mixed convection parameter, radiation parameter, and solid internal heat generation on velocity, temperature profiles, as well as induced magnetic field and current density profiles, are graphically discussed. The temperature of the fluid and solid increases as the radiation rises. The velocity decreases as the magnetic Prandtl and Hartmann numbers increase. The fluid phase Nusselt number rises as the solid internal heat generation increases. Using a multiple linear regression model, the heat transfer features are predicted (MLR). The attained results of heat transfer characteristics are in good agreement with the predicted results. © 2023 American Institute of Physics Inc.. All rights reserved.",FEM; induced magnetic field; internal heat generation; LTNE; MHD; mixed convection; MLR model; radiation,,,,,,,,,,,,,"Shilpa, B.; Department of Science and Humanities, India; email: shilpab@pesu.pes.edu",Vishu K.M.Hanumagowda B.N.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85166421895,,,,,,,
"Rudrappa A., Kallur V., Kavyashree",36088407600;57154363000;58516674900;,Effect of Gravity Modulation on Benard-Marangoni Convection in Magnetic Nanofluids with Internal Heat Generation,2023,AIP Conference Proceedings,2649,,30050,,,,,10.1063/5.0114218,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85166416102&doi=10.1063%2f5.0114218&partnerID=40&md5=1e85aa06daf6c8e42c613621b2c72fa2,"Department of Mathematics, Sai Vidya Institute of Technology, Karnataka, Rajanukunte, Bangalore-64, India; Department of Mathematics, BMS Institute of Technology and Management, KarnatakaBangalore-64, India; Department of Science and Humanities, PES University, Karnataka, Bangalore, India","Rudrappa, A., Department of Mathematics, Sai Vidya Institute of Technology, Karnataka, Rajanukunte, Bangalore-64, India; Kallur, V., Department of Mathematics, BMS Institute of Technology and Management, KarnatakaBangalore-64, India; Kavyashree, Department of Science and Humanities, PES University, Karnataka, Bangalore, India","A study of internal heat generation effect with gravity modulation in a horizontal layer of magnetic nanofluid in the occurrence of even vertical magnetic field on the onset of Benard-Marangoni convection heated from below is presented. The upper boundary, which is free, considered flat and undeformable and the lower boundary is assumed to be rigid. Upper and lower boundaries are insulated perfectly to temperature perturbations. Galerkin technique is used to solve numerically eigenvalue problem. It is inferred that the internal heat source strength and gravity modulation has considerable influence on the onset of convection. © 2023 American Institute of Physics Inc.. All rights reserved.",Benard-Marangoni convection (BMF); Galerkin Method; Internal heat source; Magnetic Nanofluids (MNFs)/Ferrofluids,,,,,,,,,,,,,"Rudrappa, A.; Department of Mathematics, Karnataka, India; email: arun.kumarr@saividya.ac.in",Vishu K.M.Hanumagowda B.N.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85166416102,,,,,,,
"Mishra A., Jefferson O.P.J., Kapur P., Kannur K., Agarwal P., Arya A.",58589205400;58562722000;58562244900;57202231062;57197345006;26653367800;,Swarm Learning In Autonomous Driving: A Privacy Preserving Approach,2023,ACM International Conference Proceeding Series,,,,271,277,,,10.1145/3608251.3608271,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85169799490&doi=10.1145%2f3608251.3608271&partnerID=40&md5=0534b624ad2de18077eacc5313b2900a,"Department of Computer Science, PES University, Karnataka, Bengaluru, India","Mishra, A., Department of Computer Science, PES University, Karnataka, Bengaluru, India; Jefferson, O.P.J., Department of Computer Science, PES University, Karnataka, Bengaluru, India; Kapur, P., Department of Computer Science, PES University, Karnataka, Bengaluru, India; Kannur, K., Department of Computer Science, PES University, Karnataka, Bengaluru, India; Agarwal, P., Department of Computer Science, PES University, Karnataka, Bengaluru, India; Arya, A., Department of Computer Science, PES University, Karnataka, Bengaluru, India","Autonomous driving technology has made significant progress in recent years due to the development and implementation of cutting-edge models for computer vision and deep learning. These advances have enabled the creation of autonomous vehicles that can navigate roads and make driving decisions without the need for human intervention. However, the use of sensors and cameras in these vehicles has raised concerns about privacy, as they capture a vast amount of data, including location-specific landmarks and personally identifiable information. The identification and obfuscation of such sensitive data during preprocessing can be a costly process. To address these concerns, this paper proposes a Swarm Learning-based training approach for autonomous driving systems. Swarm Learning involves sharing model learnings across nodes rather than raw data, which can help to protect privacy. In addition to addressing privacy concerns, this approach offers performance that is comparable to traditional training methods. It also exhibits improvements over other distributed machine learning techniques such as Federated Learning. Overall, the Swarm Learning approach presents a promising solution for the development of autonomous driving systems that maintain high performance while addressing privacy concerns. By sharing model learnings rather than raw data, Swarm Learning helps to protect sensitive information and reduces the risk of privacy breaches. This approach offers a viable alternative to traditional training methods, enabling the creation of autonomous driving systems that are both effective and respectful of privacy. © 2023 ACM.",Autonomous Driving; Decentralized training; Federated Learning; Privacy Preserving; Swarm Learning,Autonomous vehicles; Deep learning; Privacy-preserving techniques; Sensitive data; Autonomous driving; Decentralised; Decentralized training; Driving systems; Federated learning; Model learning; Performance; Privacy concerns; Privacy preserving; Swarm learning; Learning systems,Robert Bosch,"This work is partly supported by Hewlett Packard Enterprise for providing the swarm learning framework. Additionally, we thank Hariharan Ramshankar, Lead Deep Learning Engineer from Robert Bosch for helping us understand how the privacy-preserving techniques are employed in the real world for autonomous driving applications. We would like to extend our thanks to Dharmendra and Ravi from HPE for their valuable input.",,,,,,,,,,,,Association for Computing Machinery,,9.7984E+12,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,Final,,Scopus,2-s2.0-85169799490,,,,,,,
"Sharma R., Arya A.",57226205323;26653367800;,LFWE: Linguistic Feature Based Word Embedding for Hindi Fake News Detection,2023,ACM Transactions on Asian and Low-Resource Language Information Processing,22,6,3589764,,,,1,10.1145/3589764,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85164240285&doi=10.1145%2f3589764&partnerID=40&md5=49c894a058508ea515ab34972351eb39,"Pes University, Electronic City Campus, Hosur Road, Karnataka, Bangalore, 560100, India","Sharma, R., Pes University, Electronic City Campus, Hosur Road, Karnataka, Bangalore, 560100, India; Arya, A., Pes University, Electronic City Campus, Hosur Road, Karnataka, Bangalore, 560100, India","It is essential for research communities to investigate ways for authenticating news. The use of linguistic feature based analysis to automatically detect false news is gaining popularity among the scientific community. However, such techniques are exclusively created for English, leaving low-resource languages like Hindi behind. To address this issue, we constructed a novel annotated Hindi Fake News (HinFakeNews) dataset of roughly 33,300 articles that can be utilized to develop autonomous fake news detection systems. This work provides a two-stage benchmark model for identifying fake news in Hindi using machine learning. The proposed model, LFWE (Linguistic Feature Based Word Embedding), generates word embedding over linguistic features. This article focuses on 23 key linguistic features (15 extracted and 08 derived) for successful detection of Hindi fake news. These features are grouped as lexical, semantic, syntactic, psycho-linguistic, readability, and quantity features. The contribution is twofold. In the first phase, the dataset is preprocessed and linguistic features are extracted. In the second phase, feature sets are generated as word embeddings, and an Ensemble voting classification is carried out on the feature sets. According to experimental findings, the LFWE model accurately detects and classifies fake news in Hindi with an accuracy of 98.49%. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Additional Key Words and PhrasesFake news; linguistic features; machine learning (ML); text classification; voting classifier; word embedding (WE),Classification (of information); Fake detection; Feature extraction; Semantics; Text processing; Additional key word and phrasesfake news; Embeddings; Feature-based; Key words; Linguistic features; Machine learning; Machine-learning; Text classification; Voting classifiers; Word embedding; Embeddings,,,,,,,,,,,,"Sharma, R.; Pes University, Hosur Road, Karnataka, India; email: richasharma@pes.edu",,Association for Computing Machinery,23754699,,,,English,ACM Trans. Asian Low Res. Lang. Inf. Process.,Article,Final,,Scopus,2-s2.0-85164240285,,,,,,,
"Rampure R., Tiruvallur R., Acharya V., Navad S., Preethi P.",58541903400;58541903500;58122103400;58541737400;57211587951;,Air Traffic Management Using a GPU-Accelerated Genetic Algorithm,2023,Transport and Telecommunication,24,3,,266,277,,,10.2478/ttj-2023-0021,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85168363006&doi=10.2478%2fttj-2023-0021&partnerID=40&md5=30c925af2cacfdf4e695e5057fc04493,"Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India","Rampure, R., Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India; Tiruvallur, R., Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India; Acharya, V., Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India; Navad, S., Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India; Preethi, P., Department of Computer Science and Engineering, Pes University, 100 Feet Ring Road, Bangalore, 560085, India","Air traffic management is becoming highly complex with the rapid increase in the number of commercial and cargo flights, leading to increased traffic congestion and flight delays. To mitigate these issues, we present a flight path generation system that distributes the aeroplanes across the airspace and imparts minimal delays to the flight if required, thus ensuring that the aircraft follows the shortest route wherein it encounters the least amount of traffic. We develop a parallel genetic algorithm in CUDA-C with a novel fitness function allowing the system to reach an optimal solution where the air traffic density is minimised. The proposed algorithm was tested on one day's domestic flight schedule and achieved an 18% reduction in traffic density, with the flight times and delays remaining proportional to the data observed in the existing air traffic management system. © 2023 Rahul Rampure et al., published by Sciendo.",Air Traffic Management; CUDA; Genetic Algorithm; Spectral Clustering,,,,,,,,,,,,,,,Sciendo,14076160,,,,English,Transp. Telecommun.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85168363006,,,,,,,
"Hawargi B., Akshay K.B., Bhowmick K.",58517090600;58516562000;57200082192;,Entaglement and communication in digital qubits using FPGAs,2023,Journal of Electrical Engineering,74,3,,154,166,,,10.2478/jee-2023-0021,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85166432632&doi=10.2478%2fjee-2023-0021&partnerID=40&md5=1d6b97ee87d4da65aee214a7d94b5a39,"Department of Electronics and Communication Engineering, PES University, Bengaluru, 560064, India","Hawargi, B., Department of Electronics and Communication Engineering, PES University, Bengaluru, 560064, India; Akshay, K.B., Department of Electronics and Communication Engineering, PES University, Bengaluru, 560064, India; Bhowmick, K., Department of Electronics and Communication Engineering, PES University, Bengaluru, 560064, India","This paper focuses on usage of digital qubits on a digital quantum computing platform implemented on FPGAs. Modifications have been made to existing digital qubit standards to account for complex probability amplitudes and not only real ones. This paper introduces an improved transient effect ring-oscillator based TRNG used in the scope of this project. The objective of this was to simulate the addition of environmental noise in a digital setting. Using the newly designed digital qubits, a few quantum logic gates have been designed to work on the FPGA platform using Verilog. These logic gates have then been used to implement entanglement on a digital hardware platform. Furthermore, this paper implements communication between two digital quantum computers over both wired and wireless media by transmitting alphabetical messages as qubits and compares the same with transmission involving classical digital bits only. © 2023 Bhuvan Hawargi et al., published by Sciendo.",3D Convolutional Neural Network (CNN); Abnormal behavior; Deep Neural Architecture; Human activity recognition (HAR); Human Detection; Video Surveillance,,,,,,,,,,,,,,,De Gruyter Open Ltd,13353632,,,,English,J. Electr. Eng.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85166432632,,,,,,,
"Suresh R.P.K., Ramarao S.T.",57202300516;53264674600;,Numerical Predictions of Laminar Free and Mixed Convection Heat Transfer to Supercritical Water from a Non-Isothermal Vertical Plate,2023,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,106,2,,22,53,,,10.37934/arfmts.106.2.2253,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85166270167&doi=10.37934%2farfmts.106.2.2253&partnerID=40&md5=0ae618c65c78676c3d8617a6f4e3dba7,"Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India; Process Modelling Research Laboratory, PES University Bangalore, India","Suresh, R.P.K., Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India; Ramarao, S.T., Process Modelling Research Laboratory, PES University Bangalore, India","Numerical predictions of heat transfer have been made for laminar free and mixed convective heat transfer from non-isothermal vertical plane surface to supercritical water. Variation of all the thermo-physical properties of the supercritical fluid under investigation have been considered. The numerical scheme employed in the present investigation is first validated with respect to experimental data for isothermal wall conditions and good agreement is achieved with maximum deviation not exceeding 15 %. Linear and parabolic variation of wall temperatures are considered for the present investigation. Computations are made for two pressures of 225 Bar and 235 Bar, for wide range of temperature difference from 4K to 20K. The values of temperature difference are chosen. Based on the results obtained, correlations have been proposed to evaluate the Nusselt numbers for both free and mixed convection with pressure ratios of P/Pc = 1.02 (p = 225 bar) and P/Pc = 1.065 (p = 235 bar). The correlations cover a range of Rayleigh numbers, Rax from 106 to 109 for Free Convection and grashoff Number/Reynolds Number2 ranging from 0.4 to 8 for Mixed convection. The proposed correlations for local Nusselt numbers do not exceed maximum deviation of 15% from the predicted values. It has been found that the maximum deviation occurs for those cases for which the pseudo-critical temperature, T* is within the boundary layer. It is further observed that for these cases both the velocity and temperature profiles are distorted at locations where the temperature is close to the pseudo-critical temperature thereby affecting the gradients at the wall, which in turn influences the heat transfer coefficient. © 2023, Semarak Ilmu Publishing. All rights reserved.","free convection, non-isothermal wall; mixed convection; near-critical fluid; Supercritical water; vertical surface",,,This research was not funded by any grant.,,,,,,,,,,"Suresh, R.P.K.; Manipal Institute of Technology Bengaluru, India; email: rajendra.prasad@manipal.edu",,Semarak Ilmu Publishing,22897879,,,,English,J. Advance Res. Fluid Mechanics Therm. Sciences,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85166270167,,,,,,,
"Dasu L.S., Dhamija M., Dishitha G., Vivekanandan A., Sarasvathi V.",58306947900;58307345600;58306326900;58305917100;56097566000;,Defending Against Identity Threats Using Risk-Based Authentication,2023,Cybernetics and Information Technologies,23,2,,105,123,,,10.2478/cait-2023-0016,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85163209042&doi=10.2478%2fcait-2023-0016&partnerID=40&md5=b853afef80e5dffb73ce49f051c9d8eb,"Department of Computer Science and Engineering, PES University, Bangalore, India","Dasu, L.S., Department of Computer Science and Engineering, PES University, Bangalore, India; Dhamija, M., Department of Computer Science and Engineering, PES University, Bangalore, India; Dishitha, G., Department of Computer Science and Engineering, PES University, Bangalore, India; Vivekanandan, A., Department of Computer Science and Engineering, PES University, Bangalore, India; Sarasvathi, V., Department of Computer Science and Engineering, PES University, Bangalore, India","Defending against identity-based threats, which have predominantly increased in the era of remote access and working, requires non-conventional, dynamic, intelligent, and strategic means of authenticating and authorizing. This paper aims at devising detailed risk-scoring algorithms for five real-Time use cases to make identity security adaptive and risk-based. Zero-Trust principles are incorporated by collecting sign-in logs and analyzing them continually to check for any anomalies, making it a dynamic approach. Users are categorized as risky and non-risky based on the calculated risk scores. While many adaptive security mechanisms have been proposed, they confine identities only to users. This paper also considers devices as having an identity and categorizes them as safe or unsafe devices. Further, results are displayed on a dashboard, making it easy for security administrators to analyze and make wise decisions like multifactor authentication, mitigation, or any other access control decisions as such. © 2023 Lalitha Sravanti Dasu et al., published by Sciendo.",Adaptive and dynamic access control model; Health-posture; Identity; Risk-based authentication; zero trust principles,,,,,,,,,,,,,,,Sciendo,13119702,,,,English,Cybern. Inf. Technol.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85163209042,,,,,,,
"Banu H., Rao K.R.",58355980000;58354021400;,Quantum Traveler’s dilemma and the role of non-maximal entanglement,2023,Quantum Information Processing,22,6,252,,,,1,10.1007/s11128-023-04016-y,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85162975743&doi=10.1007%2fs11128-023-04016-y&partnerID=40&md5=27cf707fdcc5ce2670852202c0e68f0a,"Department of Mathematics, PES University, Bangalore, 560085, India; Department of Physics, PES University, Bangalore, 560085, India","Banu, H., Department of Mathematics, PES University, Bangalore, 560085, India; Rao, K.R., Department of Physics, PES University, Bangalore, 560085, India","In this work, we introduce a quantum analogue of two-player Traveler’s dilemma game. Traveler’s dilemma is an entirely new type of game in comparison to Prisoner’s dilemma because of the role of backward induction chain. The game presents a unique challenge as we strive to reduce this classical game to a quantum game without compromising its integrity and complexity. In classical TD with a strict game-theoretical approach, backward induction causes descent to a Nash equilibrium with the worst payoff. Interestingly, experiments have shown that individuals and groups choose strategies that demonstrably provide much higher payoffs than what the pure classical analysis predicts. We have shown in this paper that with the quantum model, the payoffs are Pareto-optimal at the Nash equilibrium with maximally entangled particles. As the entanglement is made non-maximal, it is observed that the quantum strategies do not always produce the Pareto-optimal Nash equilibrium at all values of the entanglement parameter γ . We observe phase transition like behavior for the Nash equilibria. The behavior of the TD game with a generalized payoff matrix and the effect of the entanglement parameter are analyzed in detail in this work. The relation between the Eisert–Wilkens–Lewenstein entangler parameter γ and the von Neumann entropy S of the resultant state is analyzed. As can be anticipated in an actual experiment, entanglement may not always be maximal and therefore it becomes important to know the value of the parameter γ before the players finalize a strategy. We show that the Traveler’s dilemma is completely resolved in the quantum model. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",EWL protocol; Quantum entanglement; Traveler’s dilemma,Computation theory; Game theory; Pareto principle; Backward induction; Entanglement parameters; EWL protocol; Nash equilibria; Pareto-optimal; Quantum analog; Quantum games; Quantum models; Theoretical approach; Traveler’s dilemma; Quantum entanglement,,One of the authors Hoor Banu thanks PES University for the fellowship for the PhD course.,,,,,,,,,,"Rao, K.R.; Department of Physics, India; email: raghavendrarao@pes.edu",,Springer,15700755,,,,English,Quantum Inf. Process.,Article,Final,,Scopus,2-s2.0-85162975743,,,,,,,
"Nandagudi A., Nagarajarao S.H., Patil S.B., Kumar V.G.D., Santosh M.S., Gupta A., Mondal K., Basavaraja B.M.",57433155500;57433300300;57196010524;56582345800;35171280100;55491954900;55550313400;26021710400;,Porous potassium tantalate-reduced graphene oxide nano cube architecture for high performance hybrid supercapacitors,2023,"e-Prime - Advances in Electrical Engineering, Electronics and Energy",4,,100182,,,,1,10.1016/j.prime.2023.100182,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85160819288&doi=10.1016%2fj.prime.2023.100182&partnerID=40&md5=bcfce81cbbd297bf7c0e9b71140d5410,"Department of Chemistry (Science and Humanities), PES University, 100 Ft. Ring Road, BSK 3rd Stage, Bengaluru, 560085, India; Department of Chemistry, College of Engineering and Technology, Srinivas University, Mukka, Mangalore, 574146, India; Department of Chemistry, Tunghai University, Taichung40704, Taiwan; Coal to Hydrogen Energy for Sustainable Solutions (CHESS) Division, CSIR - Central Institute of Mining and Fuel Research (CIMFR), Digwadih Campus, PO: FRI, Jharkhand, Dhanbad, 828108, India; Academy of Scientific and Innovative Research (AcSIR), Ghaziabad, 201 002, India; Department of Mechanical Engineering, Indian Institute of Technology, Jodhpur, India; Materials Science and Engineering Department, Idaho National Laboratory, Idaho Falls, ID  83415, United States; Department of Civil & Environmental Engineering, Idaho State University, Pocatello, ID  83209, United States; Nuclear Energy and Fuel Cycle Division, Oak Ridge National Laboratory, 1 Bethel Valley Road, Oak Ridge, TN  37830, United States","Nandagudi, A., Department of Chemistry (Science and Humanities), PES University, 100 Ft. Ring Road, BSK 3rd Stage, Bengaluru, 560085, India; Nagarajarao, S.H., Department of Chemistry, College of Engineering and Technology, Srinivas University, Mukka, Mangalore, 574146, India; Patil, S.B., Department of Chemistry, Tunghai University, Taichung40704, Taiwan; Kumar, V.G.D., Department of Chemistry (Science and Humanities), PES University, 100 Ft. Ring Road, BSK 3rd Stage, Bengaluru, 560085, India, Coal to Hydrogen Energy for Sustainable Solutions (CHESS) Division, CSIR - Central Institute of Mining and Fuel Research (CIMFR), Digwadih Campus, PO: FRI, Jharkhand, Dhanbad, 828108, India; Santosh, M.S., Coal to Hydrogen Energy for Sustainable Solutions (CHESS) Division, CSIR - Central Institute of Mining and Fuel Research (CIMFR), Digwadih Campus, PO: FRI, Jharkhand, Dhanbad, 828108, India, Academy of Scientific and Innovative Research (AcSIR), Ghaziabad, 201 002, India; Gupta, A., Department of Mechanical Engineering, Indian Institute of Technology, Jodhpur, India; Mondal, K., Materials Science and Engineering Department, Idaho National Laboratory, Idaho Falls, ID  83415, United States, Department of Civil & Environmental Engineering, Idaho State University, Pocatello, ID  83209, United States, Nuclear Energy and Fuel Cycle Division, Oak Ridge National Laboratory, 1 Bethel Valley Road, Oak Ridge, TN  37830, United States; Basavaraja, B.M., Department of Chemistry (Science and Humanities), PES University, 100 Ft. Ring Road, BSK 3rd Stage, Bengaluru, 560085, India","Energy storage has always been a major concern in the present-day situation. Advanced energy storage devices are batteries, supercapacitor and solar cells. However, advancements have been noteworthy in the field of high-performance hybrid supercapacitors. On this note, we have fabricated a hybrid supercapacitor electrode material Potassium tantalate nano cube (KT NCs) and its reduced graphene oxide composite (KT-rGO NCs) and tested its electrochemical performance. The materials showed high performances with specific capacitance of 565 F/g for KT NCs and 850 F/g for KT-rGO NCs respectively. Energy densities of both KT NCs & KT-rGO NCs are 28.24 Wh/Kg and 29.50 Wh/kg with good retention capacities. Further detailed study of both KT NCs and KT-rGO NCs are carried out with characterization techniques like XRD, FTIR, BET, Raman and HRTEM for structural analysis and electrochemical measurements to analyse various parameters pertaining to its charge storage capacity. © 2023",Chronopotentiometry; Hybrid supercapacitor; KTaO3; Nano cubes; rGO,,"Oak Ridge National Laboratory, ORNL; Department of Chemistry, Aligarh Muslim University; University of Mysore, UOM","Authors thank the Department of Chemistry, Mysore University, for providing FTIR and Raman spectroscopy data. K.M. would like to sincerely acknowledge the support received from the Energy and Environment Science and Technology department at the Idaho National Laboratory, USA. Furthermore, K.M. extends heartfelt acknowledgement to the distinguished Oak Ridge National Laboratory, USA, for their generous support.","Authors thank the Department of Chemistry, Mysore University, for providing FTIR and Raman spectroscopy data. K.M. would like to sincerely acknowledge the support received from the Energy and Environment Science and Technology department at the Idaho National Laboratory, USA. Furthermore, K.M. extends heartfelt acknowledgement to the distinguished Oak Ridge National Laboratory, USA, for their generous support.",,,,,,,,,"Basavaraja, B.M.; Department of Chemistry (Science and Humanities), 100 Ft. Ring Road, BSK 3rd Stage, India; email: bmbasavaraja@gmail.com",,Elsevier Ltd,27726711,,,,English,e-Prime - Adv. Elec. Eng. Elec. Energy,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85160819288,,,,,,,
"Nagamani K.V., Shankar B.M., Shivakumara I.S.",57961840500;55415755400;6603560855;,The Prandtl–Darcy Convection in a Vertical Porous Layer may be Unstable with Internal Heating,2023,Transport in Porous Media,148,2,,417,431,,,10.1007/s11242-023-01954-0,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85160026041&doi=10.1007%2fs11242-023-01954-0&partnerID=40&md5=c30e3d8d8ed55130a999a75347840511,"Department of Mathematics, PES University, Bangalore, 560085, India; Department of Mathematics, Bangalore University, Bangalore, 560056, India","Nagamani, K.V., Department of Mathematics, PES University, Bangalore, 560085, India; Shankar, B.M., Department of Mathematics, PES University, Bangalore, 560085, India; Shivakumara, I.S., Department of Mathematics, Bangalore University, Bangalore, 560056, India","The stability of natural convection in an internally heated vertical porous layer confined between two impermeable boundaries which are kept at different constant temperatures is investigated. The momentum transfer is modeled by adopting Darcy’s law including time-dependent velocity term contribution. The conduction stream function and temperature fields are significantly altered due to internal heating, and the linear instability is analyzed through a study of normal mode perturbations on the base flow. The neutral stability curves and the critical Darcy–Rayleigh number for the onset of instability are evaluated by solving the stability eigenvalue problem numerically. It has been established that a uniform volumetric heat source and the Prandtl–Darcy number reinforce together in initiating the instability of the base flow under certain conditions despite their isolation presence evidences stability for all infinitesimal perturbations. Although the internal heat source strength is to hasten the onset of instability, and the Prandtl–Darcy number is found to induct both destabilizing and stabilizing impact on the base flow. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.",Internal heating; Linear stability; Natural convection; Normal modes; Vertical porous layer,Aerodynamics; Eigenvalues and eigenfunctions; Flow of fluids; Stability; Baseflows; Constant temperature; Darcy number; Impermeable boundary; Internal heating; Linear Stability; Normal modes; Onset of instabilities; Time dependent velocity; Vertical porous layers; Natural convection; Darcy law; eigenvalue; heating; momentum transfer; porous medium; Rayleigh number,PESUIRF/Math/2020/11,"B.M.S. gratefully acknowledges the financial support received from the PES University, India through Grant PESUIRF/Math/2020/11.",,,,,,,,,,"Shankar, B.M.; Department of Mathematics, India; email: bmshankar@pes.edu",,Springer Science and Business Media B.V.,1693913,,TPMEE,,English,Transp. Porous Media,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85160026041,,,,,,,
