"Edit","Expert ID","Department","Title","Year","Pub.Date","Author(s)","Journal","Volume","Pages","Issue","DOI","EID","Publication Type","Scopus Indexed","WOS Indexed","UGC CARE - B","Crossref Citation","Scopus Citation","Access"
"222174","162098","Department of Biotechnology","Crystal and molecular docking studies of 3-[Bis-(2-hydroxy-4,4-dimethyl-6-oxo-cyclohex-1-enyl)-methyl] benzonitrile with focal adhesion kinase inhibitors","2015","0000-00-00","Kiran K.S.;Kokila M.K.;Guruprasad R.;Karunakar P.;Pasha M.A.;Lokanath N.;Naveen S.","Der Pharma Chemica","7","268-273","9","","2-s2.0-84944446957","Article","Y","N","N","","",""
"228566","261432","Department of Computer Science Engineering","Foreword","2023","2023-01-01","Buddhi D.","Sustainable Technology for Society 5.0: Case Studies, Examples, and Advanced Research Findings","","vii","","","2-s2.0-85180921233","Editorial","Y","N","N","0","1","4"
"255191","172032","Department of Electrical and Electronics Engineering","A high performance single-phase AC-DC PFC boost converter with passive snubber circuit","2012","2012-12-17","Mahesh M.;Panda A.K.","2012 IEEE Energy Conversion Congress and Exposition, ECCE 2012","","2888-2894","","10.1109/ECCE.2012.6342370","2-s2.0-84870879886","Conference Paper","Y","N","N","3","7","4"
"255199","94411","Department of Electrical and Electronics Engineering","Analysis of a single-phase AC-DC PFC boost converter with fast dynamic response","2012","2012-12-01","Mahesh M.;Panda A.K.;Keshavan B.K.","PEDES 2012 - IEEE International Conference on Power Electronics, Drives and Energy Systems","","","","10.1109/PEDES.2012.6484358","2-s2.0-84876016779","Conference Paper","Y","N","N","4","5","4"
"255218","172032","Department of Electrical and Electronics Engineering","Increase of efficiency of an AC-DC power factor correction boost converter by a novel soft-switching technique","2011","2011-11-22","Mahesh M.;Panda A.K.","Electric Power Components and Systems","40","57-73","1","10.1080/15325008.2011.621923","2-s2.0-84856696077","Article","Y","Y","N","1","2","4"
"255220","172032","Department of Electrical and Electronics Engineering","High-power factor three-phase ac-dc soft-switched converter incorporating zero-voltage transition topology in modular systems for high-power industry applications","2011","2011-11-01","Mahesh M.;Panda A.K.","IET Power Electronics","4","1032-1042","9","10.1049/iet-pel.2010.0409","2-s2.0-80053467960","Article","Y","Y","N","11","15","4"
"260940","162757","Department of Science and Humanities","Electrospun hollow glassy carbon-reduced graphene oxide nanofibers with encapsulated ZnO nanoparticles: A free standing anode for Li-ion batteries","2015","2015-03-14","Shilpa ;Basavaraja B.M.;Majumder S.B.;Sharma A.","Journal of Materials Chemistry A","3","5344-5351","10","10.1039/c4ta07220k","2-s2.0-84923787979","Article","Y","Y","N","87","84","4"
"281302","165558","Faculty of Pharmaceutical Sciences","Preparation and characterization of gelatin-poly(methacrylic acid) interpenetrating polymeric network hydrogels as a pH-sensitive delivery system for glipizide","2007","0000-00-00","Vishal Gupta N.;Satish C.S.;Shivakumar H.G.","Indian Journal of Pharmaceutical Sciences","69","64-68","1","10.4103/0250-474x.32110","","Article","Y","N","N","13","22","4"
"308685","94427","Department of Computer Science Engineering","Real-Time SURF-Based Video Stabilization System for an FPGA-Driven Mobile Robot","2016","2016-08-01","Shene T.N.;Sridharan K.;Sudha N.","IEEE Transactions on Industrial Electronics","63","5012-5021","8","10.1109/TIE.2016.2551684","2-s2.0-84978687310","Article","Y","N","N","21","32","4"
"308693","94427","Department of Computer Science Engineering","A pipelined architecture for motion tracking on a multicore environment","2015","2015-02-02","Sudha N.;Sridharan K.;Wilkinson D.","Proceedings of the 14th International Symposium on Integrated Circuits, ISIC 2014","","384-387","","10.1109/ISICIR.2014.7029515","2-s2.0-84924301160","Conference Paper","Y","N","N","1","1","4"
"308765","94427","Department of Computer Science Engineering","A novel CAM-based robotic indoor exploration algorithm and its area-efficient implementation","2008","2008-01-01","Sridharan K.;Rajesh Kumar P.;Sudha N.;Vachhani L.","IECON Proceedings (Industrial Electronics Conference)","","2419-2424","","10.1109/IECON.2008.4758336","2-s2.0-63149199438","Conference Paper","Y","N","N","1","1","4"
"317844","94427","Department of Computer Science Engineering","An efficient digital architecture for principal component neural network and its fpga implementation","2007","2007-01-01","Sudha N.;Sai Prasanna C.H.S.;Kamakoti V.","IETE Journal of Research","53","425-431","5","10.1080/03772063.2007.10876157","2-s2.0-72049085791","Article","Y","Y","N","1","1","4"
"352333","10407","Department of Design","Behavior of Polyurethane Foam-filled Steel Hat Sections under Axial Loading: Testing and Simulation","2017","2017-01-01","Haorongbam B.;Deb A.;Gupta N.","Procedia Engineering","173","1349-1356","","10.1016/j.proeng.2016.12.177","2-s2.0-85016999126","Conference Paper","Y","N","N","5","3","1"
"352339","54502","Department of Mechanical Engineering","Simulation of Hemodynamics Phenomenon Using Computational Fluid Dynamics for Enhanced Diagnostics and Prognosis","2016","2016-10-27","Hegde S.;Deb A.;Nagesh S.","Proceedings - AMS 2015: Asia Modelling Symposium 2015 - Asia 9th International Conference on Mathematical Modelling and Computer Simulation","","21-27","","10.1109/AMS.2015.13","2-s2.0-84997582060","Conference Paper","Y","N","N","0","0","4"
"352351","54502","Department of Mechanical Engineering","Computational fluid dynamic approach to understand the effect of increasing blockage on wall shear stress and region of rupture in arteries blocked by arthesclerotic plaque","2016","2016-01-01","Hegde S.;Deb A.;Nagesh S.","International Journal of Simulation: Systems, Science and Technology","17","","32","10.5013/IJSSST.a.17.32.29","2-s2.0-85005949194","Article","Y","N","N","0","0","4"
"358855","163370","Department of Electronics and Communication Engineering","Design and implementation of spectrum sensing for cognitive radios with a frequency-hopping primary system","2015","2015-12-01","Gurugopinath S.;Akula R.;Murthy C.;Prasanna R.;Amrutur B.","Physical Communication","17","172-184","","10.1016/j.phycom.2015.09.001","2-s2.0-84947916821","Article","Y","Y","N","5","7","4"
"371655","162789","Department of Biotechnology","Structural basis for the function of anti-idiotypic antibody in immune memory","2009","2009-03-01","Vani J.;Chatterjee J.;Shaila M.S.;Nayak R.;Chandra N.R.","Molecular Immunology","46","1250-1255","6","10.1016/j.molimm.2008.11.019","2-s2.0-60949096314","Article","Y","Y","N","1","2","3"
"441419","94422","Department of Electronics and Communication Engineering","Robust control of single axis gimbal platform for micro air vehicles based on uncertainty and disturbance estimation","2016","2016-08-23","Kori A.;Ananda C.;Chandar T.","Proceedings of 2016 7th International Conference on Mechanical and Aerospace Engineering, ICMAE 2016","","480-486","","10.1109/ICMAE.2016.7549588","2-s2.0-84987937803","Conference Paper","Y","N","N","2","5","4"
"448631","94419","Department of Mechanical Engineering","Influence of manufacturing parameters on the strength of PLA parts using Layered Manufacturing technique: A statistical approach","2018","0000-00-00","Jaya Christiyan K.G.;Chandrasekhar U.;Rajesh Mathivanan N.;Venkateswarlu K.","IOP Conference Series: Materials Science and Engineering","310","","1","10.1088/1757-899X/310/1/012134","","Conference Paper","Y","N","N","0","3","1"
"452619","94416","Department of Computer Science Engineering","A concise review of fast bilateral filtering","2017","0000-00-00","Das A.;Nair P.;Shylaja S.;Chaudhury K.","2017 Fourth International Conference on Image Information Processing (ICIIP)","2018-January","616-621","","","","Conference Paper","Y","N","N","7","9","4"
"469909","94411","Department of Electrical and Electronics Engineering","Probabilistic modeling and forecasting of wind power","2016","2016-07-01","Anuradha M.;Keshavan B.K.;Ramu T.S.;Sankar V.","International Journal of Performability Engineering","12","353-368","4","","2-s2.0-84991717345","Article","Y","N","N","0","3","0"
"469923","94411","Department of Electrical and Electronics Engineering","Models for the estimation of life of stator insulation in large rotating machines","2012","2012-11-26","Ramu T.;Keshavan B.;Anuradha M.","Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials","","","","10.1109/ICPADM.2012.6318920","2-s2.0-84869388510","Conference Paper","Y","N","N","0","0","4"
"469925","94411","Department of Electrical and Electronics Engineering","Application of a class of nano fluids to improve the loadability of power transformers","2012","2012-11-26","Ramu T.S.;Keshavan B.K.;Balasubramanya Murthy K.N.","Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials","","","","10.1109/ICPADM.2012.6318896","2-s2.0-84869385983","Conference Paper","Y","N","N","9","16","4"
"473583","94389","Department of Science and Humanities","Dosimetric properties of ZrO<inf>2</inf> and ZrO<inf>2</inf>:Sm<sup>3+</sup> exposed to beta rays","2018","2018-10-15","H.S. Lokesha ., Naveen Chauhan ., K.R. Nagabhushana ., Fouran Singh ., ","Ceramics International","44","18871-18877","15","10.1016/j.ceramint.2018.07.122","2-s2.0-85049921404","Article","Y","Y","N","7","5","4"
"473585","94358","Department of Science and Humanities","TL/OSL properties of beta irradiated Al<inf>2</inf>O<inf>3</inf>:Tm<sup>3+</sup> phosphor synthesized by microwave combustion method","2018","0000-00-00","Reddy S.S.;Chauhan N.;Nagabhushana K.R.;Singh F.","Materials Research Bulletin","104","236-243","","10.1016/j.materresbull.2018.04.019","","Article","Y","Y","N","15","13","4"
"473587","94358","Department of Science and Humanities","Thermoluminescence properties of 100 MeV Si<sup>7+</sup> ion-irradiated Al<inf>2</inf>O<inf>3</inf>","2018","0000-00-00","Satyanarayana Reddy S.;Nagabhushana K.;Singh F.","Radiation Effects and Defects in Solids","173","504-509","5-6","","2-s2.0-85048871153","Article","Y","Y","N","1","1","4"
"473589","94389","Department of Science and Humanities","Correlation between thermoluminescence glow curve and emission spectra of gamma ray irradiated LaAlO<inf>3</inf>","2018","2018-04-10","N. J. Shivaramu ., B. N. Lakshminarasappa ., K. R. Nagabhushana ., E. Coetsee ., H. C. Swart ., ","AIP Conference Proceedings","1942","","","10.1063/1.5028766","2-s2.0-85045750951","Conference Paper","Y","N","N","0","0","4"
"473591","94389","Department of Science and Humanities","Comparative studies on thermoluminescence glow curves of calcium oxide nanophosphor irradiated with various ionizing radiations","2018","2018-02-25","Nagabhushana, K. R.;Prakash, D.;Singh, Fouran;Tatumi, Sonia H.;Rocca, Rene R.;Watanabe, S.","Journal of Alloys and Compounds","735","1949-1954","","10.1016/j.jallcom.2017.11.148","2-s2.0-85036463581","Article","Y","Y","N","4","4","4"
"473593","94389","Department of Science and Humanities","Photoluminescence, thermoluminescence glow curve and emission characteristics of Y<inf>2</inf>O<inf>3</inf>:Er<sup>3 +</sup> nanophosphor","2018","2018-01-15","Shivaramu N.J. ., Lakshminarasappa B.N. ., Nagabhushana K.R. ., Swart H.C. ., Singh Fouran ., ","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","189","349-356","","10.1016/j.saa.2017.07.070","2-s2.0-85027522149","Article","Y","N","N","9","8","4"
"473595","94389","Department of Science and Humanities","Evidence of luminescence modification with structure of zirconia phases","2017","2017-12-01","Lokesha, H. S.;Nagabhushana, K. R.;Singh, Fouran","Journal of Luminescence","192","173-179","","10.1016/j.jlumin.2017.06.042","2-s2.0-85021444448","Article","Y","Y","N","6","5","4"
"473597","94389","Department of Science and Humanities","Synthesis, thermoluminescence and defect centres in Eu<sup>3+</sup> doped Y<inf>2</inf>O<inf>3</inf> nanophosphor for gamma dosimetry applications","2017","2017-11-01","N J Shivaramu ., B N Lakshminarasappa ., K R Nagabhushana ., Fouran Singh ., H C Swart ., ","Materials Research Express","4","","11","10.1088/2053-1591/aa99ec","2-s2.0-85043250433","Article","Y","Y","N","13","8","4"
"473599","94358","Department of Science and Humanities","Mechanism of thermoluminescence in high energy carbon ion irradiated Tb<sup>3+</sup> doped Al<inf>2</inf>O<inf>3</inf> phosphor for carbon ion beam dosimetry","2017","0000-00-00","Reddy S.;Nagabhushana K.;Singh F.","Materials Research Express","4","","9","","2-s2.0-85030703540","Article","Y","Y","N","13","16","4"
"473601","94358","Department of Science and Humanities","Thermoluminescence properties of CaO powder obtained from chicken eggshells","2017","0000-00-00","Nagabhushana K.;Lokesha H.;Satyanarayana Reddy S.;Prakash D.;Veerabhadraswamy M.;Bhagyalakshmi H.;Jayaramaiah J.","Radiation Physics and Chemistry","138","54-59","","","2-s2.0-85016415497","Article","Y","Y","N","8","9","4"
"473603","94358","Department of Science and Humanities","TL/OSL properties of beta irradiated Al<inf>2</inf>O<inf>3</inf> Nanophosphor synthesized by microwave combustion method","2017","0000-00-00","Reddy S.;Nagabhushana K.;Chauhan N.;Singh F.","AIP Conference Proceedings","1837","","","10.1063/1.4982129","","Conference Paper","Y","N","N","2","1","4"
"473605","94389","Department of Science and Humanities","Investigation on luminescence properties of nanocrystalline calcium oxide exposed to beta rays","2017","2017-05-01","Prakash, D.;Nagabhushana, K. R.;Tatumi, Sonia H.;Rocca, Rene R.;Watanabe, Shigueo","AIP Conference Proceedings","1837","","","10.1063/1.4982135","2-s2.0-85019239328","Conference Paper","Y","N","N","0","0","4"
"473607","94389","Department of Science and Humanities","TL and OSL properties of beta irradiated Y<inf>2</inf>O<inf>3</inf> nanocrystal","2017","2017-05-01","N. J. Shivaramu ., B. N. Lakshminarasappa ., K. R. Nagabhushana ., S. H. Tatumi ., R. R. Rocca ., Fouran Singh ., ","AIP Conference Proceedings","1837","","","10.1063/1.4982138","2-s2.0-85019215346","Conference Paper","Y","N","N","0","1","4"
"473609","94389","Department of Science and Humanities","Effect of lithium incorporation on luminescence properties of nanostructured Y<inf>2</inf>O<inf>3</inf>:Sm<sup>3+</sup> thin films","2017","2017-01-01","J.R. Jayaramaiah ., K.R. Nagabhushana ., B.N. Lakshminarasappa ., ","Journal of Analytical and Applied Pyrolysis","123","229-236","","10.1016/j.jaap.2016.11.023","2-s2.0-85028273535","Article","Y","N","N","10","7","4"
"473611","94389","Department of Science and Humanities","Thermoluminescence properties of gamma irradiated CaO: Sm<sup>3+</sup> phosphor","2016","2016-07-15","D. Prakash ., K.R. Nagabhushana ., ","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","379","136-140","","10.1016/j.nimb.2016.03.055","2-s2.0-84979470054","Article","Y","N","N","13","11","4"
"473613","94358","Department of Science and Humanities","Thermoluminescence studies of γ-irradiated Al<inf>2</inf>O<inf>3</inf>:Ce<sup>3+</sup> phosphor","2016","0000-00-00","Reddy S.;Nagabhushana K.;Singh F.","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","379","146-151","","","2-s2.0-84961958158","Article","Y","N","N","24","23","4"
"473615","94389","Department of Science and Humanities","Swift heavy ion induced phase transformation and thermoluminescence properties of zirconium oxide","2016","2016-07-15","Lokesha, H. S.;Nagabhushana, K. R.;Singh, Fouran","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","379","131-135","","10.1016/j.nimb.2016.03.056","2-s2.0-84979469574","Article","Y","N","N","8","7","4"
"473617","94389","Department of Science and Humanities","Ion beam induced cubic to monoclinic phase transformation of nanocrystalline yttria","2016","2016-07-15","Shivaramu, N. J.;Lakshminarasappa, B. N.;Nagabhushana, K. R.;Singh, Fouran","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","379","73-77","","10.1016/j.nimb.2016.04.013","2-s2.0-84964397464","Article","Y","N","N","7","5","4"
"473619","208246","Department of Science and Humanities","Thermoluminescence studies of γ-irradiated ZnO:Mg<sup>2+</sup> nanoparticles","2016","2016-07-15","N. Pushpa ., M.K. Kokila ., K.R. Nagabhushana ., ","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","379","62-68","","10.1016/j.nimb.2016.04.042","2-s2.0-84974668036","Article","Y","N","N","8","3","4"
"473621","94389","Department of Science and Humanities","Effect of 100 MeV swift Si<sup>8+</sup> ions on structural and thermoluminescence properties of Y<inf>2</inf>O<inf>3</inf>:Dy<sup>3+</sup>nanophosphor","2016","2016-05-03","N. J. Shivaramu ., B. N. Lakshminarasappa ., K. R. Nagabhushana ., Fouran Singh ., ","Radiation Effects and Defects in Solids","171","408-420","5-6","10.1080/10420150.2016.1194419","2-s2.0-84976330096","Article","Y","Y","N","4","5","4"
"473623","94389","Department of Science and Humanities","Synthesis characterization and luminescence studies of gamma irradiated nanocrystalline yttrium oxide","2016","2016-02-05","Shivaramu, N. J.;Lakshminarasappa, B. N.;Nagabhushana, K. R.;Singh, Fouran","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","154","220-231","","10.1016/j.saa.2015.09.019","2-s2.0-84945549347","Article","Y","N","N","35","27","4"
"473625","94389","Department of Science and Humanities","Ion beam induced luminescence studies of sol gel derived Y<inf>2</inf>O<inf>3</inf>:Dy<sup>3+</sup> nanophosphors","2016","2016-01-01","N.J. Shivaramu ., K.R. Nagabhushana ., B.N. Lakshminarasappa ., Fouran Singh ., ","Journal of Luminescence","169","627-634","","10.1016/j.jlumin.2015.07.054","2-s2.0-84949105751","Article","Y","Y","N","14","15","4"
"473627","94389","Department of Science and Humanities","Enhancement in luminescence properties of ZrO<inf>2</inf>:Dy<sup>3+</sup> under 100 MeV swift Ni<sup>7+</sup> ion irradiation","2016","2016-01-01","H. S. Lokesha ., K. R. Nagabhushana ., Fouran Singh ., ","RSC Advances","6","55240-55247","60","10.1039/c6ra11520a","2-s2.0-84974736232","Article","Y","Y","N","11","8","4"
"473629","94389","Department of Science and Humanities","Thermoluminescence of sol-gel derived Y<inf>2</inf>O<inf>3</inf>:Nd<sup>3+</sup> nanophosphor exposed to 100 MeV Si<sup>8+</sup> ions and gamma rays","2015","2015-07-15","N.J. Shivaramu ., B.N. Lakshminarasappa ., K.R. Nagabhushana ., Fouran Singh ., ","Journal of Alloys and Compounds","637","564-573","","10.1016/j.jallcom.2015.02.218","2-s2.0-84926436166","Article","Y","Y","N","20","17","4"
"473631","94389","Department of Science and Humanities","Luminescence properties of 100 MeV swift Si<sup>7+</sup> ions irradiated nanocrystalline zirconium oxide","2015","2015-07-07","H.S. Lokesha ., K.R. Nagabhushana ., Fouran Singh ., ","Journal of Alloys and Compounds","647","921-926","","10.1016/j.jallcom.2015.06.156","2-s2.0-84935457398","Article","Y","Y","N","17","16","4"
"473633","94389","Department of Science and Humanities","Role of Li ion on luminescence performance of yttrium oxide thin films","2015","2015-06-11","Jayaramaiah, J. R.;Nagabhushana, K. R.;Lakshminarasappa, B. N.","Dyes and Pigments","121","221-226","","10.1016/j.dyepig.2015.05.025","2-s2.0-84930941520","Article","Y","Y","N","9","7","4"
"473635","94389","Department of Science and Humanities","SHI induced thermoluminescence properties of sol-gel derived Y<inf>2</inf>O<inf>3</inf>:Er<sup>3+</sup> nanophosphor","2015","2015-01-01","N. J. Shivaramu ., B. N. Lakshminarasappa ., K. R. Nagabhushana ., Fouran Singh ., ","Advanced Materials Letters","6","342-347","4","10.5185/amlett.2015.5713","2-s2.0-84925765789","Article","Y","N","N","3","3","2"
"473637","94389","Department of Science and Humanities","Luminescence performance of europium-doped yttrium oxide thin films","2015","2015-01-01","Jayaramaiah, J. R.;Lakshminarasappa, B. N.;Nagabhushana, K. R.","Journal of Luminescence","157","63-68","","10.1016/j.jlumin.2014.08.003","2-s2.0-84907662183","Article","Y","Y","N","9","8","4"
"473639","94389","Department of Science and Humanities","Synthesis characterization and luminescence studies of 100 MeV Si <sup>8+</sup> ion irradiated sol gel derived nanocrystalline Y<inf>2</inf>O <inf>3</inf>","2014","2014-06-15","B.N. Lakshminarasappa ., N.J. Shivaramu ., K.R. Nagabhushana ., Fouran Singh ., ","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","329","40-47","","10.1016/j.nimb.2014.02.128","2-s2.0-84898066804","Article","Y","N","N","23","22","2"
"473641","94389","Department of Science and Humanities","Luminescence studies of 100 MeV Si<sup>8+</sup> ion irradiated nanocrystalline Y<inf>2</inf>O<inf>3</inf>","2014","2014-01-01","N.J. Shivaramu ., B.N. Lakshminarasappa ., K.R. Nagabhushana ., Fouran Singh ., ","Radiation Measurements","71","518-523","","10.1016/j.radmeas.2014.03.027","2-s2.0-84983478920","Article","Y","Y","N","12","13","2"
"473643","94389","Department of Science and Humanities","Thermoluminescence studies of γ-irradiated nanocrystalline Y<inf>3</inf>Al<inf>5</inf>O<inf>12</inf>","2014","2014-01-01","N.J. Shivaramu ., B.N. Lakshminarasappa ., K.R. Nagabhushana ., Fouran Singh ., ","Radiation Effects and Defects in Solids","169","696-705","8","10.1080/10420150.2014.922561","2-s2.0-84907885150","Article","Y","Y","N","5","6","4"
"473645","22905","Department of Science and Humanities","Luminescence studies on swift heavy ion irradiated nanocrystalline aluminum oxide","2011","2011-04-01","Nagabhushana K.;Lakshminarasappa B.;Revannasiddaiah D.;Singh F.","Journal of Luminescence","131","764-767","4","10.1016/j.jlumin.2010.11.034","2-s2.0-79952316830","Article","Y","Y","N","12","12","2"
"473647","238935","Department of Science and Humanities","Optical absorption and thermoluminescence studies in 100 MeV swift heavy ion irradiated CaF<inf>2</inf> crystals","2011","2011-01-15","Pandurangappa C.;Lakshminarasappa B.;Singh F.;Nagabhushana K.","Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","269","185-188","2","10.1016/j.nimb.2010.10.022","2-s2.0-78649917188","Article","Y","N","N","7","7","4"
"473649","94389","Department of Science and Humanities","Photoluminescence and Raman studies in swift heavy ion irradiated polycrystalline aluminum oxide","2009","2009-11-01","Nagabhushana, K. R.;Lakshminarasappa, B. N.;Singh, Fouran","Bulletin of Materials Science","32","515-519","5","10.1007/s12034-009-0076-y","2-s2.0-73349101048","Article","Y","Y","N","26","24","3"
"473651","102312","Department of Science and Humanities","Swift heavy ion induced thermoluminescence studies in polycrystalline aluminum oxide","2009","2009-06-01","Nagabhushana K.;Lakshminarasappa B.;Revannasiddaiah D.;Haranath D.;Singh F.","Indian Journal of Engineering and Materials Sciences","16","161-164","3","","2-s2.0-70249085952","Conference Paper","Y","N","N","0","1","0"
"473653","22905","Department of Science and Humanities","Thermally stimulated luminescence studies in combustion synthesized polycrystalline aluminum oxide","2008","2008-08-01","Nagabhushana K.R.;Lakshminarasappa B.N.;Revannasiddaiah D.;Singh F.","Bulletin of Materials Science","31","669-672","4","10.1007/s12034-008-0106-1","2-s2.0-51749099832","Article","Y","Y","N","10","12","3"
"473655","94389","Department of Science and Humanities","Thermoluminescence studies in swift heavy ion irradiated aluminum oxide","2008","2008-08-01","Nagabhushana, K. R.;Lakshminarasappa, B. N.;Singh, Fouran","Radiation Measurements","43","","SUPPL.1","10.1016/j.radmeas.2008.04.035","2-s2.0-48549104138","Article","Y","Y","N","43","41","4"
